iter	Passed	Remaining
0	267	267324
1	349	174474
2	431	143273
3	508	126610
4	584	116395
5	660	109445
6	738	104786
7	819	101633
8	898	98891
9	978	96916
10	1045	94037
11	1117	91997
12	1188	90220
13	1256	88498
14	1329	87299
15	1401	86167
16	1473	85202
17	1541	84108
18	1608	83073
19	1673	82012
20	1739	81079
21	1806	80313
22	1874	79642
23	1941	78951
24	2009	78357
25	2077	77819
26	2145	77325
27	2214	76863
28	2286	76556
29	2361	76357
30	2447	76502
31	2527	76455
32	2603	76283
33	2672	75936
34	2735	75428
35	2799	74973
36	2868	74659
37	2929	74158
38	2992	73743
39	3057	73381
40	3124	73092
41	3184	72639
42	3255	72452
43	3324	72240
44	3398	72132
45	3477	72120
46	3552	72036
47	3618	71759
48	3676	71346
49	3735	70983
50	3795	70627
51	3856	70301
52	3916	69973
53	3974	69631
54	4041	69448
55	4101	69134
56	4163	68878
57	4233	68764
58	4312	68776
59	4392	68818
60	4463	68715
61	4530	68544
62	4595	68344
63	4661	68168
64	4721	67917
65	4784	67708
66	4845	67474
67	4907	67256
68	4974	67117
69	5041	66978
70	5112	66893
71	5174	66688
72	5254	66727
73	5331	66715
74	5401	66618
75	5464	66437
76	5534	66343
77	5597	66167
78	5661	65997
79	5720	65788
80	5782	65604
81	5846	65457
82	5910	65303
83	5981	65227
84	6066	65308
85	6144	65301
86	6214	65219
87	6282	65104
88	6346	64964
89	6406	64772
90	6464	64576
91	6522	64369
92	6579	64168
93	6638	63987
94	6703	63861
95	6769	63746
96	6836	63645
97	6903	63543
98	6965	63391
99	7029	63262
100	7096	63164
101	7157	63009
102	7220	62877
103	7283	62745
104	7354	62687
105	7421	62595
106	7483	62452
107	7544	62313
108	7612	62226
109	7671	62068
110	7732	61929
111	7801	61853
112	7858	61687
113	7922	61574
114	7982	61429
115	8041	61278
116	8107	61184
117	8169	61065
118	8236	60978
119	8294	60828
120	8358	60721
121	8426	60640
122	8494	60564
123	8569	60537
124	8635	60451
125	8691	60289
126	8749	60141
127	8811	60028
128	8873	59910
129	8931	59773
130	8987	59621
131	9048	59502
132	9123	59475
133	9197	59441
134	9264	59363
135	9318	59200
136	9383	59106
137	9451	59034
138	9515	58938
139	9578	58839
140	9640	58733
141	9706	58647
142	9768	58543
143	9840	58495
144	9908	58424
145	9979	58375
146	10040	58264
147	10099	58142
148	10155	58002
149	10212	57871
150	10274	57770
151	10339	57680
152	10410	57633
153	10479	57569
154	10544	57482
155	10605	57377
156	10671	57299
157	10728	57173
158	10822	57245
159	10893	57189
160	10955	57089
161	11020	57007
162	11081	56905
163	11145	56815
164	11205	56706
165	11261	56578
166	11326	56497
167	11396	56442
168	11461	56358
169	11522	56255
170	11579	56136
171	11630	55987
172	11687	55867
173	11747	55765
174	11806	55659
175	11877	55608
176	11931	55480
177	11993	55385
178	12044	55243
179	12105	55146
180	12159	55020
181	12216	54905
182	12276	54808
183	12334	54698
184	12406	54657
185	12462	54541
186	12511	54395
187	12565	54271
188	12617	54142
189	12666	54000
190	12735	53941
191	12799	53862
192	12864	53792
193	12933	53734
194	12986	53609
195	13040	53492
196	13099	53396
197	13152	53274
198	13207	53161
199	13270	53082
200	13327	52976
201	13382	52867
202	13431	52732
203	13494	52654
204	13550	52550
205	13606	52444
206	13656	52318
207	13712	52213
208	13775	52137
209	13837	52056
210	13896	51963
211	13958	51884
212	14021	51808
213	14081	51721
214	14138	51623
215	14200	51541
216	14256	51441
217	14303	51309
218	14368	51241
219	14433	51172
220	14494	51091
221	14551	50995
222	14609	50902
223	14664	50802
224	14719	50699
225	14780	50620
226	14848	50563
227	14906	50473
228	14969	50399
229	15029	50314
230	15093	50246
231	15151	50158
232	15208	50064
233	15276	50007
234	15338	49933
235	15405	49873
236	15463	49783
237	15511	49662
238	15563	49556
239	15626	49484
240	15687	49404
241	15745	49319
242	15799	49217
243	15862	49146
244	15921	49064
245	15977	48970
246	16038	48895
247	16099	48816
248	16161	48744
249	16222	48666
250	16282	48588
251	16346	48520
252	16413	48462
253	16470	48374
254	16524	48276
255	16577	48178
256	16633	48089
257	16695	48015
258	16756	47939
259	16818	47868
260	16884	47806
261	16936	47707
262	16989	47609
263	17050	47534
264	17109	47453
265	17172	47384
266	17233	47310
267	17285	47212
268	17336	47110
269	17393	47026
270	17451	46944
271	17522	46897
272	17579	46814
273	17641	46742
274	17696	46653
275	17770	46615
276	17832	46544
277	17893	46471
278	17946	46378
279	18006	46301
280	18064	46222
281	18112	46115
282	18171	46040
283	18229	45959
284	18286	45875
285	18343	45795
286	18406	45728
287	18481	45690
288	18537	45607
289	18590	45515
290	18647	45433
291	18703	45350
292	18756	45259
293	18823	45200
294	18874	45106
295	18935	45035
296	18992	44955
297	19048	44873
298	19107	44796
299	19179	44752
300	19242	44685
301	19293	44592
302	19349	44510
303	19403	44422
304	19462	44349
305	19517	44266
306	19574	44185
307	19641	44129
308	19695	44044
309	19750	43961
310	19809	43886
311	19865	43805
312	19924	43731
313	19977	43644
314	20037	43573
315	20094	43496
316	20159	43434
317	20226	43379
318	20279	43291
319	20346	43235
320	20408	43169
321	20472	43106
322	20527	43025
323	20585	42949
324	20647	42884
325	20706	42809
326	20762	42731
327	20822	42660
328	20886	42598
329	20944	42523
330	21007	42458
331	21060	42374
332	21126	42316
333	21186	42245
334	21237	42158
335	21297	42088
336	21365	42032
337	21432	41977
338	21500	41923
339	21565	41862
340	21621	41785
341	21677	41707
342	21728	41620
343	21784	41542
344	21846	41475
345	21898	41392
346	21949	41304
347	22000	41218
348	22054	41138
349	22116	41074
350	22182	41015
351	22251	40962
352	22321	40911
353	22385	40850
354	22443	40777
355	22499	40702
356	22560	40634
357	22612	40551
358	22672	40482
359	22731	40412
360	22785	40331
361	22842	40259
362	22898	40183
363	22949	40097
364	23015	40039
365	23068	39959
366	23122	39881
367	23181	39811
368	23239	39740
369	23303	39678
370	23354	39595
371	23409	39519
372	23463	39441
373	23518	39365
374	23579	39298
375	23633	39221
376	23686	39143
377	23740	39064
378	23796	38991
379	23860	38931
380	23921	38864
381	23984	38802
382	24039	38726
383	24097	38656
384	24149	38576
385	24208	38507
386	24263	38433
387	24328	38373
388	24381	38295
389	24437	38223
390	24494	38150
391	24549	38076
392	24603	38000
393	24659	37927
394	24729	37876
395	24782	37798
396	24838	37727
397	24901	37665
398	24963	37601
399	25018	37528
400	25067	37445
401	25129	37381
402	25186	37310
403	25243	37240
404	25309	37183
405	25363	37107
406	25431	37054
407	25490	36986
408	25553	36923
409	25619	36867
410	25688	36813
411	25758	36762
412	25817	36694
413	25878	36630
414	25931	36554
415	25992	36488
416	26051	36422
417	26111	36356
418	26160	36275
419	26216	36204
420	26282	36146
421	26345	36084
422	26441	36068
423	26500	36001
424	26565	35940
425	26628	35880
426	26684	35808
427	26746	35745
428	26815	35690
429	26881	35634
430	26948	35577
431	27007	35509
432	27070	35448
433	27122	35372
434	27178	35301
435	27237	35234
436	27294	35164
437	27349	35092
438	27408	35025
439	27464	34955
440	27513	34875
441	27573	34810
442	27628	34738
443	27681	34664
444	27743	34601
445	27804	34536
446	27862	34469
447	27928	34412
448	27982	34339
449	28047	34280
450	28104	34211
451	28173	34156
452	28233	34092
453	28297	34031
454	28355	33964
455	28415	33898
456	28474	33833
457	28527	33760
458	28581	33687
459	28642	33623
460	28702	33558
